,AgeCategory,WeeklyWorkingHours,WorkClass,Education,MaritalStatus,Occupation,Relationship,Race,Sex,NativeCountry
random23,AgeCat-40-50,HoursCat-40-50,Federal-gov,Grade-9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
random24,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Never-married,Craft-repair,Husband,White,Female,United-States
random25,AgeCat-40-50,HoursCat-50-60,Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,United-States
random26,AgeCat-20-30,HoursCat-40-50,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,United-States
random27,AgeCat-60-70,HoursCat-30-40,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Female,United-States
random28,AgeCat-30-40,HoursCat-20-30,Private,Doctorate,Never-married,Craft-repair,Husband,White,Male,United-States
random29,AgeCat-30-40,HoursCat-10-20,Private,Assoc-voc,Divorced,Transport-moving,Husband,White,Male,United-States
random30,AgeCat-20-30,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random31,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Transport-moving,Own-child,White,Female,Hungary
random32,AgeCat-30-40,HoursCat-30-40,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States
random33,AgeCat-30-40,HoursCat-40-50,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
random34,AgeCat-10-20,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Female,United-States
random35,AgeCat-40-50,HoursCat-50-60,Private,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,United-States
random36,AgeCat-40-50,HoursCat-10-20,Private,Doctorate,Married-civ-spouse,Farming-fishing,Husband,White,Female,United-States
random37,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States
random38,AgeCat-60-70,HoursCat-40-50,Private,Bachelors,Never-married,Machine-op-inspct,Unmarried,White,Male,United-States
random39,AgeCat-40-50,HoursCat-40-50,Private,Grade-11th,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,Mexico
random40,AgeCat-30-40,HoursCat-50-60,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,Other,Male,United-States
random41,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Male,United-States
random42,AgeCat-40-50,HoursCat-40-50,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States
random43,AgeCat-10-20,HoursCat-70-80,Federal-gov,Bachelors,Never-married,Exec-managerial,Unmarried,White,Male,United-States
random44,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Female,United-States
random45,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,United-States
random46,AgeCat-20-30,HoursCat-10-20,Private,Grade-12th,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,Vietnam
random47,AgeCat-20-30,HoursCat-40-50,Self-emp-not-inc,HS-grad,Divorced,Handlers-cleaners,Unmarried,Black,Male,Poland
random48,AgeCat-20-30,HoursCat-20-30,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,United-States
random49,AgeCat-30-40,HoursCat-30-40,Federal-gov,Grade-11th,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,United-States
random50,AgeCat-30-40,HoursCat-30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
random51,AgeCat-30-40,HoursCat-30-40,Private,Prof-school,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,United-States
random52,AgeCat-70-80,HoursCat-50-60,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random53,AgeCat-20-30,HoursCat-30-40,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random54,AgeCat-20-30,HoursCat-50-60,Private,Masters,Never-married,Prof-specialty,Own-child,White,Female,United-States
random55,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,United-States
random56,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Transport-moving,Wife,White,Female,United-States
random57,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Unmarried,White,Male,United-States
random58,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random59,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,Black,Female,United-States
random60,AgeCat-20-30,HoursCat-30-40,Private,Assoc-voc,Never-married,Farming-fishing,Husband,White,Male,United-States
random61,AgeCat-20-30,HoursCat-60-70,Local-gov,Assoc-acdm,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States
random62,AgeCat-40-50,HoursCat-50-60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States
random63,AgeCat-20-30,HoursCat-30-40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Unmarried,White,Female,United-States
random64,AgeCat-20-30,HoursCat-10-20,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random65,AgeCat-30-40,HoursCat-30-40,Local-gov,Some-college,Widowed,Machine-op-inspct,Not-in-family,White,Female,United-States
random66,AgeCat-50-60,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,United-States
random67,AgeCat-20-30,HoursCat-30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Female,United-States
random68,AgeCat-50-60,HoursCat-10-20,Local-gov,Grade-1st-4th,Never-married,Craft-repair,Wife,White,Male,United-States
random69,AgeCat-20-30,HoursCat-80-90,Private,Some-college,Divorced,Adm-clerical,Husband,White,Male,United-States
random70,AgeCat-60-70,HoursCat-10-20,Private,Assoc-voc,Never-married,Craft-repair,Husband,White,Female,United-States
random71,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Never-married,Adm-clerical,Other-relative,White,Male,United-States
random72,AgeCat-60-70,HoursCat-10-20,Private,Some-college,Never-married,Protective-serv,Husband,White,Female,United-States
random73,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Own-child,Asian-Pac-Islander,Male,United-States
random74,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,United-States
random75,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Other,Female,United-States
random76,AgeCat-20-30,HoursCat-40-50,Private,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Male,Japan
random77,AgeCat-20-30,HoursCat-50-60,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random78,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States
random79,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Never-married,Transport-moving,Own-child,White,Male,United-States
random80,AgeCat-20-30,HoursCat-30-40,Private,Masters,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,United-States
random81,AgeCat-30-40,HoursCat-20-30,Private,Bachelors,Married-civ-spouse,Tech-support,Own-child,White,Male,United-States
random82,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Never-married,Exec-managerial,Husband,White,Male,United-States
random83,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Some-college,Never-married,Exec-managerial,Unmarried,White,Female,United-States
random84,AgeCat-30-40,HoursCat-50-60,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Italy
random85,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Divorced,Prof-specialty,Husband,White,Male,United-States
random86,AgeCat-30-40,HoursCat-40-50,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Puerto-Rico
random87,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Female,Taiwan
random88,AgeCat-30-40,HoursCat-30-40,Self-emp-not-inc,Bachelors,Never-married,Transport-moving,Own-child,White,Male,United-States
random89,AgeCat-50-60,HoursCat-30-40,State-gov,Assoc-voc,Divorced,Other-service,Husband,Asian-Pac-Islander,Female,United-States
random90,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,Grade-12th,Never-married,Handlers-cleaners,Own-child,Black,Male,United-States
random91,AgeCat-40-50,HoursCat-40-50,Self-emp-not-inc,Grade-5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,United-States
random92,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,United-States
random93,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Grade-10th,Never-married,Prof-specialty,Husband,White,Male,United-States
random94,AgeCat-20-30,HoursCat-60-70,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
random95,AgeCat-20-30,HoursCat-30-40,Self-emp-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,United-States
random96,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Divorced,Transport-moving,Not-in-family,White,Male,United-States
random97,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,United-States
random98,AgeCat-50-60,HoursCat-20-30,Private,Some-college,Married-civ-spouse,Other-service,Unmarried,White,Male,United-States
random99,AgeCat-10-20,HoursCat-40-50,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States
random100,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,United-States
random101,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,United-States
random102,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States
random103,AgeCat-60-70,HoursCat-30-40,Private,Masters,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States
random104,AgeCat-20-30,HoursCat-30-40,Private,Assoc-voc,Never-married,Prof-specialty,Husband,White,Female,United-States
random105,AgeCat-30-40,HoursCat-20-30,Self-emp-not-inc,Some-college,Divorced,Sales,Husband,White,Female,United-States
random106,AgeCat-40-50,HoursCat-30-40,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Male,United-States
random107,AgeCat-30-40,HoursCat-10-20,Private,Masters,Never-married,Other-service,Husband,White,Male,United-States
random108,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Not-in-family,White,Male,United-States
random109,AgeCat-60-70,HoursCat-30-40,Private,Grade-10th,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,United-States
random110,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Never-married,Other-service,Husband,White,Female,United-States
random111,AgeCat-50-60,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Sales,Own-child,White,Male,United-States
random112,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Never-married,Transport-moving,Husband,White,Male,United-States
random113,AgeCat-20-30,HoursCat-10-20,Private,Some-college,Never-married,Tech-support,Wife,White,Female,United-States
random114,AgeCat-50-60,HoursCat-10-20,Private,Assoc-voc,Separated,Other-service,Not-in-family,White,Male,United-States
random115,AgeCat-30-40,HoursCat-30-40,Local-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Female,United-States
random116,AgeCat-50-60,HoursCat-30-40,Private,Grade-5th-6th,Married-civ-spouse,Adm-clerical,Husband,White,Female,United-States
random117,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
random118,AgeCat-50-60,HoursCat-30-40,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,United-States
random119,AgeCat-40-50,HoursCat-30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
random120,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Divorced,Adm-clerical,Husband,White,Male,Dominican-Republic
random121,AgeCat-30-40,HoursCat-30-40,Private,Assoc-acdm,Married-civ-spouse,Other-service,Own-child,White,Male,United-States
random122,AgeCat-60-70,HoursCat-60-70,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States
random123,AgeCat-40-50,HoursCat-40-50,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,United-States
random124,AgeCat-30-40,HoursCat-30-40,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
random125,AgeCat-40-50,HoursCat-40-50,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,United-States
random126,AgeCat-10-20,HoursCat-40-50,Private,Grade-5th-6th,Divorced,Exec-managerial,Wife,White,Female,United-States
random127,AgeCat-20-30,HoursCat-50-60,Self-emp-inc,Some-college,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,United-States
random128,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,United-States
random129,AgeCat-20-30,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random130,AgeCat-40-50,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States
random131,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random132,AgeCat-20-30,HoursCat-30-40,State-gov,Bachelors,Never-married,Sales,Husband,White,Female,United-States
random133,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Male,United-States
random134,AgeCat-30-40,HoursCat-40-50,Private,Masters,Divorced,Adm-clerical,Not-in-family,White,Male,United-States
random135,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United-States
random136,AgeCat-30-40,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Female,United-States
random137,AgeCat-40-50,HoursCat-50-60,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Female,United-States
random138,AgeCat-40-50,HoursCat-40-50,Private,Grade-11th,Never-married,Craft-repair,Husband,White,Male,United-States
random139,AgeCat-30-40,HoursCat-30-40,Private,Grade-10th,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random140,AgeCat-50-60,HoursCat-30-40,Private,Grade-7th-8th,Divorced,Other-service,Husband,White,Female,United-States
random141,AgeCat-30-40,HoursCat-40-50,State-gov,HS-grad,Never-married,Adm-clerical,Husband,White,Female,United-States
random142,AgeCat-30-40,HoursCat-40-50,Private,Grade-10th,Married-civ-spouse,Tech-support,Not-in-family,White,Male,United-States
random143,AgeCat-50-60,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,United-States
random144,AgeCat-40-50,HoursCat-30-40,Private,Preschool,Never-married,Sales,Unmarried,White,Male,United-States
random145,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Divorced,Handlers-cleaners,Husband,White,Female,El-Salvador
random146,AgeCat-20-30,HoursCat-10-20,Private,Bachelors,Divorced,Farming-fishing,Husband,White,Male,Puerto-Rico
random147,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
random148,AgeCat-40-50,HoursCat-30-40,State-gov,Masters,Widowed,Prof-specialty,Husband,White,Male,United-States
random149,AgeCat-80-90,HoursCat-30-40,Private,Doctorate,Divorced,Farming-fishing,Not-in-family,White,Male,United-States
random150,AgeCat-20-30,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random151,AgeCat-50-60,HoursCat-30-40,Private,Grade-10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random152,AgeCat-20-30,HoursCat-30-40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States
random153,AgeCat-40-50,HoursCat-40-50,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
random154,AgeCat-20-30,HoursCat-50-60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Female,United-States
random155,AgeCat-50-60,HoursCat-30-40,Private,Prof-school,Divorced,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,United-States
random156,AgeCat-40-50,HoursCat-30-40,Private,Grade-10th,Never-married,Machine-op-inspct,Not-in-family,White,Female,Jamaica
random157,AgeCat-30-40,HoursCat-30-40,Private,Masters,Separated,Craft-repair,Not-in-family,White,Female,India
random158,AgeCat-30-40,HoursCat-30-40,Private,Grade-9th,Never-married,Other-service,Husband,White,Male,United-States
random159,AgeCat-20-30,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Female,United-States
random160,AgeCat-40-50,HoursCat-30-40,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
random161,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,United-States
random162,AgeCat-40-50,HoursCat-60-70,Private,HS-grad,Married-civ-spouse,Transport-moving,Unmarried,White,Male,United-States
random163,AgeCat-50-60,HoursCat-10-20,Private,Masters,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random164,AgeCat-60-70,HoursCat-30-40,Private,Some-college,Never-married,Sales,Husband,White,Female,United-States
random165,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Never-married,Machine-op-inspct,Husband,White,Male,United-States
random166,AgeCat-10-20,HoursCat-30-40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,United-States
random167,AgeCat-30-40,HoursCat-30-40,Private,Prof-school,Married-civ-spouse,Tech-support,Own-child,White,Male,United-States
random168,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,HS-grad,Separated,Sales,Own-child,White,Female,United-States
random169,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,United-States
random170,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States
random171,AgeCat-10-20,HoursCat-30-40,Private,Grade-10th,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,United-States
random172,AgeCat-20-30,HoursCat-30-40,Private,Masters,Never-married,Exec-managerial,Unmarried,Black,Female,United-States
random173,AgeCat-10-20,HoursCat-70-80,Private,HS-grad,Married-spouse-absent,Craft-repair,Husband,White,Male,United-States
random174,AgeCat-40-50,HoursCat-10-20,Self-emp-inc,HS-grad,Never-married,Prof-specialty,Husband,White,Male,United-States
random175,AgeCat-20-30,HoursCat-30-40,Private,Assoc-acdm,Never-married,Craft-repair,Husband,White,Male,United-States
random176,AgeCat-30-40,HoursCat-30-40,Private,Grade-7th-8th,Never-married,Sales,Husband,White,Male,United-States
random177,AgeCat-50-60,HoursCat-30-40,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States
random178,AgeCat-40-50,HoursCat-30-40,Private,Assoc-voc,Never-married,Other-service,Wife,White,Male,United-States
random179,AgeCat-10-20,HoursCat-40-50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
random180,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,United-States
random181,AgeCat-40-50,HoursCat-20-30,Private,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Female,United-States
random182,AgeCat-30-40,HoursCat-30-40,Local-gov,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States
random183,AgeCat-20-30,HoursCat-10-20,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Female,United-States
random184,AgeCat-50-60,HoursCat-40-50,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random185,AgeCat-40-50,HoursCat-0-10,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
random186,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Unmarried,White,Male,United-States
random187,AgeCat-40-50,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Female,United-States
random188,AgeCat-40-50,HoursCat-40-50,Private,Assoc-acdm,Divorced,Sales,Husband,White,Male,United-States
random189,AgeCat-20-30,HoursCat-30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random190,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,United-States
random191,AgeCat-20-30,HoursCat-30-40,Private,Prof-school,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States
random192,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Never-married,Other-service,Husband,White,Female,United-States
random193,AgeCat-60-70,HoursCat-30-40,Private,Prof-school,Never-married,Craft-repair,Own-child,White,Male,United-States
random194,AgeCat-40-50,HoursCat-30-40,Local-gov,HS-grad,Never-married,Adm-clerical,Wife,White,Female,United-States
random195,AgeCat-30-40,HoursCat-20-30,Private,HS-grad,Widowed,Sales,Wife,White,Female,United-States
random196,AgeCat-20-30,HoursCat-40-50,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Female,United-States
random197,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States
random198,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States
random199,AgeCat-30-40,HoursCat-60-70,Self-emp-inc,HS-grad,Never-married,Exec-managerial,Husband,White,Male,United-States
random200,AgeCat-20-30,HoursCat-40-50,Private,Bachelors,Never-married,Exec-managerial,Husband,White,Female,Portugal
random201,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Male,United-States
random202,AgeCat-30-40,HoursCat-30-40,Private,Grade-10th,Married-civ-spouse,Transport-moving,Unmarried,Black,Male,United-States
random203,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Never-married,Exec-managerial,Own-child,Black,Male,United-States
random204,AgeCat-10-20,HoursCat-10-20,Self-emp-not-inc,Some-college,Never-married,Adm-clerical,Other-relative,White,Female,United-States
random205,AgeCat-10-20,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,United-States
random206,AgeCat-40-50,HoursCat-30-40,Local-gov,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random207,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,United-States
random208,AgeCat-30-40,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Female,United-States
random209,AgeCat-50-60,HoursCat-30-40,Private,Some-college,Never-married,Transport-moving,Wife,Black,Female,United-States
random210,AgeCat-70-80,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Female,United-States
random211,AgeCat-20-30,HoursCat-40-50,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Female,United-States
random212,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Never-married,Prof-specialty,Husband,White,Male,United-States
random213,AgeCat-20-30,HoursCat-40-50,Local-gov,HS-grad,Separated,Machine-op-inspct,Husband,White,Male,United-States
random214,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Female,Philippines
random215,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random216,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,United-States
random217,AgeCat-30-40,HoursCat-30-40,Private,Assoc-voc,Never-married,Prof-specialty,Husband,White,Female,Mexico
